sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;northHeading;
1584853111;306235;1584853111;306276;1584853111;305638;86.20631;
1584853111;405891;1584853111;405939;1584853111;405719;86.20659;
1584853111;505888;1584853111;505922;1584853111;505724;86.20585;
1584853111;605882;1584853111;605931;1584853111;605708;86.20526;
1584853111;705796;1584853111;705848;1584853111;705625;86.20639;
1584853111;805946;1584853111;805999;1584853111;805759;86.20619;
1584853111;905865;1584853111;905917;1584853111;905679;86.20542;
1584853112;6049;1584853112;6100;1584853112;5866;86.20463;
1584853112;105820;1584853112;105846;1584853112;105687;86.20589;
1584853112;205803;1584853112;205828;1584853112;205671;86.20669;
1584853112;305851;1584853112;305875;1584853112;305715;86.20734;
1584853112;405840;1584853112;405865;1584853112;405705;86.20795;
1584853112;505988;1584853112;506029;1584853112;505745;86.20721;
1584853112;605889;1584853112;605941;1584853112;605693;86.20869;
1584853112;705840;1584853112;705892;1584853112;705652;86.20833;
1584853112;805997;1584853112;806054;1584853112;805805;86.20905;
1584853112;905965;1584853112;906013;1584853112;905716;86.20975;
1584853113;6160;1584853113;6213;1584853113;5971;86.21124;
1584853113;105887;1584853113;105925;1584853113;105704;86.21188;
1584853113;205887;1584853113;205936;1584853113;205695;86.21391;
1584853113;305949;1584853113;306018;1584853113;305730;86.21453;
1584853113;405945;1584853113;406007;1584853113;405727;86.21632;
1584853113;505885;1584853113;505920;1584853113;505711;86.21786;
1584853113;605922;1584853113;605959;1584853113;605747;86.2181;
1584853113;705858;1584853113;705894;1584853113;705677;86.21999;
1584853113;806003;1584853113;806053;1584853113;805809;86.21947;
1584853113;905950;1584853113;906022;1584853113;905734;86.22158;
1584853114;6236;1584853114;6291;1584853114;6028;86.22272;
1584853114;105854;1584853114;105879;1584853114;105720;86.22256;
1584853114;205868;1584853114;205893;1584853114;205713;86.22102;
1584853114;305892;1584853114;305928;1584853114;305741;86.21955;
1584853114;405958;1584853114;406012;1584853114;405753;86.21902;
1584853114;506057;1584853114;506106;1584853114;505743;86.21889;
1584853114;605838;1584853114;605875;1584853114;605690;86.21777;
1584853114;705802;1584853114;705831;1584853114;705646;86.21697;
1584853114;805927;1584853114;805957;1584853114;805795;86.21683;
1584853114;906427;1584853114;906491;1584853114;905768;86.21578;
1584853115;6354;1584853115;6382;1584853115;5985;86.21453;
1584853115;106204;1584853115;106253;1584853115;105736;86.21481;
1584853115;206201;1584853115;206249;1584853115;205713;86.21435;
1584853115;306353;1584853115;306399;1584853115;305745;86.21384;
1584853115;406080;1584853115;406109;1584853115;405698;86.21429;
1584853115;506190;1584853115;506221;1584853115;505716;86.21435;
1584853115;606264;1584853115;606312;1584853115;605792;86.21353;
1584853115;706065;1584853115;706093;1584853115;705657;86.21382;
1584853115;806296;1584853115;806340;1584853115;805780;86.21347;
1584853115;906198;1584853115;906233;1584853115;905702;86.21377;
1584853116;6477;1584853116;6528;1584853116;5974;86.21309;
1584853116;106138;1584853116;106167;1584853116;105719;86.21411;
1584853116;206059;1584853116;206102;1584853116;205698;86.21435;
1584853116;306326;1584853116;306376;1584853116;305737;86.21535;
1584853116;406288;1584853116;406337;1584853116;405728;86.21552;
1584853116;506159;1584853116;506188;1584853116;505724;86.21629;
1584853116;606238;1584853116;606267;1584853116;605857;86.21685;
1584853116;706089;1584853116;706117;1584853116;705712;86.21772;
1584853116;806426;1584853116;806477;1584853116;805816;86.21698;
1584853116;906072;1584853116;906100;1584853116;905710;86.21725;
1584853117;6497;1584853117;6535;1584853117;6022;86.21793;
1584853117;106086;1584853117;106115;1584853117;105683;86.21837;
1584853117;206297;1584853117;206333;1584853117;205746;86.22057;
1584853117;306349;1584853117;306394;1584853117;305723;86.22131;
1584853117;406091;1584853117;406120;1584853117;405708;86.22167;
1584853117;506081;1584853117;506122;1584853117;505707;86.22113;
1584853117;606231;1584853117;606283;1584853117;605817;86.22166;
1584853117;706152;1584853117;706181;1584853117;705790;86.22161;
1584853117;806848;1584853117;806949;1584853117;805895;86.22326;
1584853117;906197;1584853117;906250;1584853117;905738;86.22314;
1584853118;6478;1584853118;6528;1584853118;5991;86.2237;
1584853118;106322;1584853118;106365;1584853118;105745;86.22322;
1584853118;206235;1584853118;206276;1584853118;205745;86.22422;
1584853118;306311;1584853118;306364;1584853118;305736;86.22327;
1584853118;406385;1584853118;406440;1584853118;405795;86.22347;
1584853118;506535;1584853118;506635;1584853118;505795;86.22243;
1584853118;606325;1584853118;606367;1584853118;605827;86.22214;
1584853118;706279;1584853118;706318;1584853118;705770;86.222;
1584853118;806312;1584853118;806370;1584853118;805739;86.22233;
1584853118;906330;1584853118;906385;1584853118;905729;86.22262;
1584853119;6492;1584853119;6535;1584853119;5977;86.22127;
1584853119;106359;1584853119;106440;1584853119;105833;86.22237;
1584853119;206095;1584853119;206129;1584853119;205742;86.22192;
1584853119;306507;1584853119;306564;1584853119;305814;86.22148;
1584853119;406183;1584853119;406212;1584853119;405734;86.22095;
1584853119;506075;1584853119;506106;1584853119;505709;86.22042;
1584853119;606350;1584853119;606405;1584853119;605816;86.21985;
1584853119;706198;1584853119;706243;1584853119;705696;86.21986;
1584853119;806408;1584853119;806452;1584853119;805857;86.21905;
1584853119;906368;1584853119;906412;1584853119;905816;86.21838;
1584853120;6514;1584853120;6642;1584853120;6031;86.21751;
1584853120;106079;1584853120;106132;1584853120;105580;86.21875;
