sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSpeed;
1584853114;245346;1584853114;245372;1584853114;245186;0;
1584853114;445284;1584853114;445374;1584853114;445095;0;
1584853114;645209;1584853114;645231;1584853114;644850;0;
1584853114;845584;1584853114;845692;1584853114;845188;0;
1584853115;45126;1584853115;45148;1584853115;45022;0;
1584853115;245051;1584853115;245074;1584853115;244880;0;
1584853115;445289;1584853115;445310;1584853115;445196;0;
1584853115;645329;1584853115;645367;1584853115;645032;0;
1584853115;845024;1584853115;845051;1584853115;844862;0;
1584853116;45610;1584853116;45718;1584853116;45183;0;
1584853116;245074;1584853116;245095;1584853116;245029;0;
1584853116;445163;1584853116;445194;1584853116;444903;0;
1584853116;645569;1584853116;645595;1584853116;645210;0;
1584853116;845183;1584853116;845207;1584853116;845071;0;
1584853117;45143;1584853117;45169;1584853117;44888;0;
1584853117;245277;1584853117;245300;1584853117;245207;0;
1584853117;445323;1584853117;445350;1584853117;445055;0;
1584853117;644976;1584853117;644999;1584853117;644899;0;
1584853117;845364;1584853117;845400;1584853117;845204;0;
1584853118;48955;1584853118;48984;1584853118;45052;0;
1584853118;245633;1584853118;245657;1584853118;244878;0;
1584853118;445420;1584853118;445530;1584853118;445230;0;
1584853118;647055;1584853118;647078;1584853118;645077;0;
1584853118;845657;1584853118;845693;1584853118;844920;0;
1584853119;45809;1584853119;45856;1584853119;45212;0;
1584853119;245180;1584853119;245202;1584853119;245108;0;
1584853119;445777;1584853119;445904;1584853119;444914;0;
1584853119;645401;1584853119;645512;1584853119;645232;0;
1584853119;846084;1584853119;846107;1584853119;845072;0;
1584853120;45934;1584853120;45971;1584853120;44933;0;
1584853120;246043;1584853120;246067;1584853120;245235;0;
1584853120;445922;1584853120;445952;1584853120;445111;0;
1584853120;645721;1584853120;645780;1584853120;644921;0;
1584853120;846078;1584853120;846101;1584853120;845233;0;
1584853121;45956;1584853121;45997;1584853121;45107;0;
1584853121;246153;1584853121;246177;1584853121;244931;0;
1584853121;446029;1584853121;446052;1584853121;445229;0;
1584853121;645449;1584853121;645475;1584853121;645122;0;
1584853121;846875;1584853121;846899;1584853121;844914;0;
1584853122;45747;1584853122;45771;1584853122;45252;0;
1584853122;245893;1584853122;245918;1584853122;245091;0;
1584853122;445585;1584853122;445610;1584853122;444964;0;
1584853122;645784;1584853122;645837;1584853122;645249;0;
1584853122;846412;1584853122;846435;1584853122;845107;0;
1584853123;45072;1584853123;45095;1584853123;44923;0;
1584853123;246137;1584853123;246161;1584853123;245260;0;
1584853123;445231;1584853123;445255;1584853123;445119;0;
1584853123;645832;1584853123;645913;1584853123;644938;0;
1584853123;845811;1584853123;845834;1584853123;845255;0;
1584853124;45801;1584853124;45917;1584853124;45149;0;
1584853124;245030;1584853124;245053;1584853124;244952;0;
1584853124;445562;1584853124;445585;1584853124;445270;0;
1584853124;646085;1584853124;646121;1584853124;645111;0;
1584853124;846005;1584853124;846065;1584853124;844958;0;
1584853125;45673;1584853125;45699;1584853125;45276;0;
1584853125;247412;1584853125;247585;1584853125;245151;0;
1584853125;445264;1584853125;445294;1584853125;444985;0;
1584853125;645835;1584853125;645857;1584853125;645274;0;
1584853125;845745;1584853125;845914;1584853125;845135;0;
1584853126;45979;1584853126;46002;1584853126;44964;0;
1584853126;245548;1584853126;245597;1584853126;245290;0;
1584853126;446030;1584853126;446054;1584853126;445185;0;
1584853126;645127;1584853126;645151;1584853126;644967;0;
1584853126;846132;1584853126;846171;1584853126;845283;0;
1584853127;45271;1584853127;45292;1584853127;45128;0.26979;
1584853127;245050;1584853127;245072;1584853127;244981;0.41055;
1584853127;445841;1584853127;445866;1584853127;445295;0.55131;
1584853127;645761;1584853127;645809;1584853127;645151;0.68816;
1584853127;846304;1584853127;846324;1584853127;844950;0.82892;
