sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584853114;225808;1584853114;225849;1584853114;225674;0.009765625
1584853114;425369;1584853114;425406;1584853114;425271;0.009765625
1584853114;625734;1584853114;625774;1584853114;625627;0.009765625
1584853114;825760;1584853114;825780;1584853114;825675;0.009765625
1584853115;25370;1584853115;25390;1584853115;25273;0.009765625
1584853115;226259;1584853115;226284;1584853115;225630;0.009765625
1584853115;425849;1584853115;425879;1584853115;425682;0.009765625
1584853115;625909;1584853115;625933;1584853115;625278;0.009765625
1584853115;825724;1584853115;825744;1584853115;825653;0.009765625
1584853116;26415;1584853116;26439;1584853116;25657;0.009765625
1584853116;225883;1584853116;225956;1584853116;225298;0.009765625
1584853116;426063;1584853116;426187;1584853116;425647;0.009765625
1584853116;625956;1584853116;625982;1584853116;625689;0.009765625
1584853116;826505;1584853116;826530;1584853116;825307;0.009765625
1584853117;25996;1584853117;26018;1584853117;25650;0.009765625
1584853117;227027;1584853117;227049;1584853117;225694;0.009765625
1584853117;425469;1584853117;425490;1584853117;425312;0.009765625
1584853117;626172;1584853117;626209;1584853117;625654;0.009765625
1584853117;825768;1584853117;825789;1584853117;825725;0.009765625
1584853118;26630;1584853118;26656;1584853118;25297;0.009765625
1584853118;226942;1584853118;226966;1584853118;225678;0.009765625
1584853118;426115;1584853118;426224;1584853118;425686;0.009765625
1584853118;625640;1584853118;625663;1584853118;625301;0.009765625
1584853118;825816;1584853118;825838;1584853118;825671;0.009765625
1584853119;25824;1584853119;25845;1584853119;25721;0.009765625
1584853119;225467;1584853119;225495;1584853119;225339;0.009765625
1584853119;427163;1584853119;427189;1584853119;425677;0.009765625
1584853119;627004;1584853119;627031;1584853119;625689;0.009765625
1584853119;827484;1584853119;827528;1584853119;825332;0.009765625
1584853120;26730;1584853120;26755;1584853120;25678;0.009765625
1584853120;228459;1584853120;228482;1584853120;225751;0.009765625
1584853120;427583;1584853120;427618;1584853120;425363;0.009765625
1584853120;628023;1584853120;628156;1584853120;625684;0.009765625
1584853120;826778;1584853120;826801;1584853120;825736;0.009765625
1584853121;28589;1584853121;28628;1584853121;25340;0.009765625
1584853121;226747;1584853121;226770;1584853121;225683;0.009765625
1584853121;427485;1584853121;427508;1584853121;425760;0.009765625
1584853121;627669;1584853121;627693;1584853121;625381;0.009765625
1584853121;829353;1584853121;829394;1584853121;825701;0.009765625
1584853122;27224;1584853122;27261;1584853122;25749;0.009765625
1584853122;229168;1584853122;229206;1584853122;225341;0.009765625
1584853122;426993;1584853122;427016;1584853122;425709;0.009765625
1584853122;631574;1584853122;631615;1584853122;625743;0.009765625
1584853122;826475;1584853122;826497;1584853122;825364;0.009765625
1584853123;30299;1584853123;30321;1584853123;25702;0.009765625
1584853123;227459;1584853123;227482;1584853123;225724;0.009765625
1584853123;429286;1584853123;429310;1584853123;425359;0.009765625
1584853123;629327;1584853123;629350;1584853123;625709;0.009765625
1584853123;830206;1584853123;830880;1584853123;825781;0.009765625
1584853124;26450;1584853124;26472;1584853124;25397;0.009765625
1584853124;226458;1584853124;226480;1584853124;225712;0.009765625
1584853124;426545;1584853124;426569;1584853124;425758;0.009765625
1584853124;627529;1584853124;627551;1584853124;625362;0.009765625
1584853124;826042;1584853124;826064;1584853124;825728;0.009765625
1584853125;26884;1584853125;26907;1584853125;25794;0.009765625
1584853125;226411;1584853125;226438;1584853125;225382;0.009765625
1584853125;425898;1584853125;425922;1584853125;425736;0.009765625
1584853125;626037;1584853125;626057;1584853125;625747;0.009765625
1584853125;825735;1584853125;825766;1584853125;825388;0.009765625
1584853126;27668;1584853126;27714;1584853126;25733;0.009765625
1584853126;226380;1584853126;226404;1584853126;225796;0.009765625
1584853126;428154;1584853126;428190;1584853126;425389;0.009765625
1584853126;631809;1584853126;631832;1584853126;625741;0.009765625
1584853126;826925;1584853126;826944;1584853126;825820;0.009765625
1584853127;27109;1584853127;27131;1584853127;25395;0.009765625
1584853127;226953;1584853127;226975;1584853127;225720;-0.029296875
1584853127;428118;1584853127;428194;1584853127;425818;-0.1083984375
1584853127;626141;1584853127;626186;1584853127;625369;-0.107421875
1584853127;827490;1584853127;827509;1584853127;825750;-0.10546875
1584853128;26211;1584853128;26310;1584853128;25786;-0.091796875
1584853128;225932;1584853128;225961;1584853128;225387;-0.0859375
1584853128;426285;1584853128;426323;1584853128;425742;-0.091796875
1584853128;626490;1584853128;626515;1584853128;625617;-0.1337890625
1584853128;826219;1584853128;826280;1584853128;825415;-0.1572265625
1584853129;26164;1584853129;26184;1584853129;25750;-0.1591796875
1584853129;227210;1584853129;227302;1584853129;225839;-0.162109375
1584853129;425966;1584853129;425989;1584853129;425407;-0.2109375
1584853129;628551;1584853129;628607;1584853129;625762;-0.236328125
1584853129;827939;1584853129;827965;1584853129;825666;-0.19140625
1584853130;32538;1584853130;32561;1584853130;25396;-0.107421875
1584853130;228048;1584853130;228070;1584853130;225751;-0.0986328125
1584853130;430280;1584853130;430303;1584853130;425858;-0.0849609375
1584853130;627318;1584853130;627341;1584853130;625412;-0.056640625
1584853130;827815;1584853130;827837;1584853130;825774;-0.0498046875
1584853131;31911;1584853131;31934;1584853131;25634;-0.0458984375
1584853131;227786;1584853131;227808;1584853131;225422;-0.0458984375
1584853131;432157;1584853131;432180;1584853131;425778;-0.0576171875
1584853131;630703;1584853131;630726;1584853131;625852;-0.0576171875
1584853131;829141;1584853131;829179;1584853131;825438;-0.0458984375
1584853132;27096;1584853132;27119;1584853132;25783;-0.0283203125
1584853132;233742;1584853132;233764;1584853132;225667;-0.0224609375
1584853132;433309;1584853132;433351;1584853132;425448;-0.0224609375
1584853132;629700;1584853132;629723;1584853132;625776;-0.021484375
1584853132;828628;1584853132;828651;1584853132;825664;-0.01953125
1584853133;25837;1584853133;25859;1584853133;25423;-0.01953125
1584853133;234037;1584853133;234076;1584853133;225791;-0.01953125
1584853133;430508;1584853133;430531;1584853133;425677;-0.029296875
1584853133;630268;1584853133;630291;1584853133;625456;-0.0283203125
1584853133;826448;1584853133;826527;1584853133;825797;-0.0283203125
1584853134;31524;1584853134;31628;1584853134;25864;-0.0244140625
1584853134;225796;1584853134;225826;1584853134;225427;-0.0166015625
1584853134;428362;1584853134;428385;1584853134;425817;-0.013671875
1584853134;627399;1584853134;627421;1584853134;625679;0.0009765625
1584853134;826043;1584853134;826065;1584853134;825443;0.0126953125
1584853135;27184;1584853135;27264;1584853135;25798;0.0244140625
1584853135;226260;1584853135;226282;1584853135;225873;0.0458984375
