sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1584853114;144185;1584853114;144230;1584853114;144056;0.3655;0.0085;9.639
1584853114;244270;1584853114;244299;1584853114;244214;0.306;0.0255;9.6135
1584853114;343923;1584853114;343953;1584853114;343862;0.3145;0.0595;9.639
1584853114;444235;1584853114;444267;1584853114;444137;0.3485;0.0935;9.639
1584853114;544279;1584853114;544318;1584853114;544210;0.3995;0.0425;9.6815
1584853114;644035;1584853114;644172;1584853114;643888;0.3485;0.0595;9.7155
1584853114;744125;1584853114;744154;1584853114;744067;0.3995;0.0425;9.7155
1584853114;844287;1584853114;844337;1584853114;844217;0.3825;0.0425;9.724
1584853114;943974;1584853114;944005;1584853114;943876;0.3995;0.0255;9.7495
1584853115;44130;1584853115;44164;1584853115;44063;0.3825;0.0425;9.6985
1584853115;144269;1584853115;144298;1584853115;144212;0.3655;0.0085;9.6305
1584853115;244016;1584853115;244065;1584853115;243918;0.4165;0.0425;9.6305
1584853115;344147;1584853115;344207;1584853115;344064;0.3485;0;9.6305
1584853115;444290;1584853115;444328;1584853115;444224;0.3315;0.0085;9.639
1584853115;543947;1584853115;543979;1584853115;543887;0.3825;0.0425;9.6305
1584853115;644173;1584853115;644244;1584853115;644071;0.3485;0.0595;9.639
1584853115;744327;1584853115;744380;1584853115;744214;0.3655;0.1105;9.639
1584853115;843962;1584853115;844000;1584853115;843897;0.3315;0.0595;9.6985
1584853115;944145;1584853115;944179;1584853115;944081;0.3825;0.0595;9.7155
1584853116;44306;1584853116;44353;1584853116;44211;0.3655;0.0595;9.724
1584853116;143987;1584853116;144039;1584853116;143886;0.3995;0.0085;9.7495
1584853116;244137;1584853116;244201;1584853116;244073;0.3655;0.0425;9.6985
1584853116;344315;1584853116;344344;1584853116;344229;0.3655;-0.0085;9.6645
1584853116;443996;1584853116;444022;1584853116;443948;0.3995;0;9.639
1584853116;544164;1584853116;544189;1584853116;544088;0.3485;0.0255;9.6305
1584853116;644692;1584853116;644790;1584853116;644241;0.3825;0.0425;9.639
