sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMURollRate;IMUYawRate
1584853114;245080;1584853114;245105;1584853114;244944;-0.00146484375;0.02001953125
1584853114;445183;1584853114;445222;1584853114;444862;-0.000732421875;0.017333984375
1584853114;644980;1584853114;645138;1584853114;644614;-0.00244140625;0.020751953125
1584853114;845043;1584853114;845064;1584853114;844948;0.00146484375;0.01806640625
1584853115;44989;1584853115;45073;1584853115;44788;0;0.016357421875
1584853115;244932;1584853115;244953;1584853115;244640;-0.000732421875;0.017333984375
1584853115;445152;1584853115;445236;1584853115;444958;0;0.017333984375
1584853115;645158;1584853115;645179;1584853115;644794;-0.000732421875;0.01806640625
1584853115;844752;1584853115;844777;1584853115;844624;-0.00146484375;0.01904296875
1584853116;45488;1584853116;45515;1584853116;44944;0;0.016357421875
1584853116;244940;1584853116;244964;1584853116;244795;-0.000732421875;0.01806640625
1584853116;444794;1584853116;444820;1584853116;444661;0;0.017333984375
1584853116;645056;1584853116;645108;1584853116;644971;-0.000732421875;0.017333984375
1584853116;845039;1584853116;845127;1584853116;844838;0;0.01904296875
1584853117;44810;1584853117;44834;1584853117;44643;-0.000732421875;0.017333984375
1584853117;245044;1584853117;245068;1584853117;244969;-0.00244140625;0.017333984375
1584853117;444938;1584853117;444958;1584853117;444822;0.000732421875;0.02001953125
1584853117;644807;1584853117;644863;1584853117;644659;-0.00146484375;0.017333984375
1584853117;845277;1584853117;845300;1584853117;844966;-0.000732421875;0.01806640625
1584853118;48415;1584853118;48450;1584853118;44820;0;0.01806640625
1584853118;245208;1584853118;245247;1584853118;244640;0.000732421875;0.01904296875
1584853118;445167;1584853118;445192;1584853118;444990;0.000732421875;0.015625
1584853118;646205;1584853118;646342;1584853118;644818;-0.000732421875;0.016357421875
1584853118;845232;1584853118;845266;1584853118;844681;-0.00244140625;0.01904296875
1584853119;45080;1584853119;45117;1584853119;44975;0.00146484375;0.0146484375
1584853119;244989;1584853119;245045;1584853119;244873;0.000732421875;0.016357421875
1584853119;445213;1584853119;445235;1584853119;444682;-0.00244140625;0.016357421875
1584853119;645072;1584853119;645094;1584853119;644998;-0.00244140625;0.017333984375
1584853119;845697;1584853119;845721;1584853119;844840;0;0.01806640625
