sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;northHeading;
1584853141;6559;1584853141;6617;1584853141;6085;85.145;
1584853141;56428;1584853141;56481;1584853141;55846;85.12343;
1584853141;106333;1584853141;106367;1584853141;105912;85.09925;
1584853141;156474;1584853141;156512;1584853141;155975;85.07646;
1584853141;206634;1584853141;206681;1584853141;205965;85.05162;
1584853141;256495;1584853141;256546;1584853141;255986;85.03294;
1584853141;306426;1584853141;306474;1584853141;305904;85.01566;
1584853141;356285;1584853141;356314;1584853141;355921;84.99339;
1584853141;406368;1584853141;406398;1584853141;405935;84.97018;
1584853141;456260;1584853141;456288;1584853141;455886;84.94696;
1584853141;506395;1584853141;506446;1584853141;505926;84.92651;
1584853141;556267;1584853141;556296;1584853141;555896;84.90762;
1584853141;606303;1584853141;606343;1584853141;605939;84.88841;
1584853141;656630;1584853141;656727;1584853141;655973;84.86979;
1584853141;706253;1584853141;706282;1584853141;705870;84.85766;
1584853141;756314;1584853141;756342;1584853141;755921;84.85375;
1584853141;806578;1584853141;806649;1584853141;805969;84.84857;
1584853141;856660;1584853141;856703;1584853141;856037;84.84998;
1584853141;906448;1584853141;906482;1584853141;905988;84.84647;
1584853141;956366;1584853141;956416;1584853141;955924;84.84719;
1584853142;6545;1584853142;6580;1584853142;6134;84.84649;
1584853142;56606;1584853142;56657;1584853142;56006;84.847;
1584853142;106623;1584853142;106685;1584853142;105944;84.8465;
1584853142;156464;1584853142;156510;1584853142;155970;84.85275;
1584853142;206329;1584853142;206362;1584853142;205964;84.87122;
1584853142;256533;1584853142;256591;1584853142;255972;84.89745;
1584853142;306547;1584853142;306613;1584853142;305965;84.93163;
1584853142;356302;1584853142;356345;1584853142;355886;84.97637;
1584853142;406687;1584853142;406739;1584853142;405987;85.02389;
1584853142;456437;1584853142;456478;1584853142;455915;85.08091;
1584853142;506411;1584853142;506453;1584853142;505917;85.14345;
1584853142;556368;1584853142;556420;1584853142;555927;85.20998;
1584853142;606307;1584853142;606337;1584853142;605926;85.27757;
1584853142;656267;1584853142;656296;1584853142;655908;85.35226;
1584853142;706431;1584853142;706469;1584853142;705920;85.44151;
1584853142;756735;1584853142;756781;1584853142;756032;85.54147;
1584853142;806532;1584853142;806585;1584853142;805937;85.65658;
1584853142;856373;1584853142;856406;1584853142;855922;85.78378;
1584853142;906308;1584853142;906349;1584853142;905907;85.9233;
1584853142;956442;1584853142;956479;1584853142;955949;86.0784;
1584853143;6544;1584853143;6574;1584853143;6158;86.24951;
1584853143;56297;1584853143;56342;1584853143;55842;86.42878;
1584853143;106293;1584853143;106321;1584853143;105930;86.61456;
1584853143;156560;1584853143;156589;1584853143;156031;86.80975;
1584853143;206430;1584853143;206467;1584853143;205954;87.00836;
1584853143;256479;1584853143;256514;1584853143;256038;87.20612;
1584853143;306885;1584853143;306936;1584853143;306028;87.39882;
1584853143;356263;1584853143;356292;1584853143;355902;87.59182;
1584853143;406678;1584853143;406729;1584853143;406024;87.78172;
1584853143;456467;1584853143;456514;1584853143;455940;87.97774;
1584853143;506328;1584853143;506376;1584853143;505912;88.17934;
1584853143;556454;1584853143;556501;1584853143;555924;88.38441;
1584853143;606391;1584853143;606442;1584853143;605926;88.59109;
1584853143;656589;1584853143;656649;1584853143;655987;88.80236;
1584853143;706382;1584853143;706411;1584853143;705919;89.01054;
1584853143;756390;1584853143;756426;1584853143;755925;89.22661;
1584853143;806464;1584853143;806513;1584853143;805932;89.4446;
1584853143;856366;1584853143;856416;1584853143;855909;89.66644;
1584853143;906482;1584853143;906526;1584853143;905935;89.89758;
1584853143;956359;1584853143;956408;1584853143;955932;90.13744;
1584853144;6490;1584853144;6518;1584853144;6128;90.39262;
1584853144;56540;1584853144;56579;1584853144;55965;90.66385;
1584853144;106399;1584853144;106437;1584853144;105939;90.94987;
1584853144;156361;1584853144;156390;1584853144;155985;91.24662;
1584853144;206534;1584853144;206583;1584853144;205947;91.55534;
1584853144;256443;1584853144;256478;1584853144;255927;91.86812;
1584853144;306785;1584853144;306830;1584853144;306039;92.19495;
1584853144;356423;1584853144;356454;1584853144;355939;92.53076;
1584853144;406336;1584853144;406366;1584853144;405974;92.88356;
1584853144;456450;1584853144;456502;1584853144;456030;93.25272;
1584853144;506521;1584853144;506564;1584853144;505990;93.6331;
1584853144;556294;1584853144;556326;1584853144;555938;94.01653;
1584853144;606453;1584853144;606492;1584853144;605990;94.41741;
1584853144;656544;1584853144;656590;1584853144;656030;94.82498;
1584853144;706393;1584853144;706436;1584853144;705903;95.24482;
1584853144;756438;1584853144;756482;1584853144;755979;95.66926;
1584853144;806936;1584853144;807000;1584853144;806070;96.10384;
1584853144;856565;1584853144;856632;1584853144;855980;96.54407;
1584853144;906356;1584853144;906405;1584853144;905942;96.99951;
1584853144;956858;1584853144;956916;1584853144;956055;97.46117;
1584853145;6656;1584853145;6701;1584853145;6128;97.9564;
1584853145;56203;1584853145;56243;1584853145;55843;98.46844;
1584853145;106567;1584853145;106621;1584853145;105981;98.99389;
1584853145;156486;1584853145;156536;1584853145;156018;99.5235;
1584853145;206308;1584853145;206337;1584853145;205933;100.058;
1584853145;256612;1584853145;256662;1584853145;256035;100.5998;
1584853145;306614;1584853145;306660;1584853145;305995;101.1445;
1584853145;356699;1584853145;356750;1584853145;355995;101.6863;
1584853145;406568;1584853145;406636;1584853145;406010;102.2309;
1584853145;456471;1584853145;456511;1584853145;455942;102.7657;
1584853145;506431;1584853145;506472;1584853145;505949;103.2918;
1584853145;556445;1584853145;556480;1584853145;555937;103.8182;
1584853145;606360;1584853145;606399;1584853145;605952;104.3494;
1584853145;656517;1584853145;656580;1584853145;656013;104.8883;
1584853145;706533;1584853145;706582;1584853145;705961;105.4209;
1584853145;756690;1584853145;756740;1584853145;755999;105.9534;
1584853145;806633;1584853145;806680;1584853145;806021;106.4755;
1584853145;856515;1584853145;856555;1584853145;855963;106.9958;
1584853145;906361;1584853145;906389;1584853145;905963;107.5157;
1584853145;956323;1584853145;956351;1584853145;955953;108.041;
1584853146;6713;1584853146;6764;1584853146;6195;108.5672;
1584853146;56517;1584853146;56564;1584853146;55981;109.092;
1584853146;106400;1584853146;106445;1584853146;105949;109.6147;
1584853146;156812;1584853146;156874;1584853146;156029;110.1262;
1584853146;206437;1584853146;206486;1584853146;205955;110.6313;
1584853146;256320;1584853146;256348;1584853146;255936;111.1289;
1584853146;306579;1584853146;306633;1584853146;306013;111.6205;
1584853146;356420;1584853146;356475;1584853146;355939;112.0955;
1584853146;406327;1584853146;406356;1584853146;405962;112.5621;
1584853146;456561;1584853146;456621;1584853146;456021;113.0077;
1584853146;506429;1584853146;506466;1584853146;505939;113.4422;
1584853146;556729;1584853146;556776;1584853146;556030;113.8501;
1584853146;606401;1584853146;606433;1584853146;605935;114.2368;
1584853146;656683;1584853146;656724;1584853146;656177;114.6022;
1584853146;706254;1584853146;706295;1584853146;705877;114.9521;
1584853146;756458;1584853146;756504;1584853146;755978;115.293;
1584853146;806791;1584853146;806825;1584853146;805955;115.6164;
1584853146;856392;1584853146;856441;1584853146;855985;115.9286;
1584853146;906509;1584853146;906564;1584853146;906013;116.2245;
1584853146;956889;1584853146;956941;1584853146;956099;116.5041;
1584853147;6638;1584853147;6679;1584853147;6168;116.7571;
1584853147;56426;1584853147;56480;1584853147;55877;116.9966;
1584853147;106368;1584853147;106398;1584853147;105939;117.2063;
1584853147;156486;1584853147;156535;1584853147;156003;117.3751;
1584853147;206514;1584853147;206558;1584853147;205951;117.5057;
1584853147;256705;1584853147;256755;1584853147;256068;117.6033;
1584853147;306606;1584853147;306649;1584853147;306013;117.6745;
1584853147;356633;1584853147;356678;1584853147;356021;117.7161;
1584853147;406469;1584853147;406508;1584853147;405998;117.7281;
1584853147;456395;1584853147;456427;1584853147;455973;117.7066;
1584853147;506446;1584853147;506486;1584853147;505968;117.6423;
1584853147;556431;1584853147;556472;1584853147;555941;117.5488;
1584853147;606304;1584853147;606333;1584853147;605948;117.4299;
1584853147;656695;1584853147;656779;1584853147;656050;117.2906;
1584853147;706406;1584853147;706448;1584853147;705917;117.1211;
1584853147;756699;1584853147;756746;1584853147;756041;116.9156;
1584853147;806692;1584853147;806763;1584853147;805958;116.6693;
1584853147;856424;1584853147;856474;1584853147;855945;116.3761;
1584853147;906379;1584853147;906409;1584853147;905944;116.0429;
1584853147;956461;1584853147;956512;1584853147;955943;115.6718;
1584853148;6549;1584853148;6582;1584853148;6129;115.2597;
1584853148;56359;1584853148;56411;1584853148;55963;114.7988;
1584853148;106473;1584853148;106524;1584853148;105977;114.284;
1584853148;156792;1584853148;156836;1584853148;156103;113.7093;
1584853148;206642;1584853148;206684;1584853148;206046;113.0812;
1584853148;256697;1584853148;256773;1584853148;256035;112.4134;
1584853148;306534;1584853148;306575;1584853148;305978;111.7156;
1584853148;356423;1584853148;356467;1584853148;355953;110.9946;
1584853148;406529;1584853148;406574;1584853148;405977;110.2452;
1584853148;456443;1584853148;456495;1584853148;455964;109.4743;
1584853148;506398;1584853148;506427;1584853148;505941;108.6629;
1584853148;556779;1584853148;556830;1584853148;556038;107.84;
1584853148;606405;1584853148;606457;1584853148;605958;106.9956;
1584853148;656393;1584853148;656442;1584853148;655952;106.1459;
1584853148;706373;1584853148;706413;1584853148;705931;105.2731;
1584853148;756532;1584853148;756586;1584853148;755954;104.3978;
1584853148;806837;1584853148;806883;1584853148;806070;103.5178;
1584853148;856507;1584853148;856568;1584853148;855948;102.6316;
1584853148;906489;1584853148;906537;1584853148;905997;101.7128;
1584853148;956684;1584853148;956732;1584853148;956013;100.7718;
1584853149;6725;1584853149;6774;1584853149;6154;99.82607;
1584853149;56364;1584853149;56411;1584853149;55916;98.87494;
1584853149;106346;1584853149;106374;1584853149;105967;97.90969;
1584853149;156470;1584853149;156523;1584853149;156026;96.92782;
1584853149;206380;1584853149;206412;1584853149;205965;95.91457;
1584853149;256421;1584853149;256450;1584853149;255951;94.879;
1584853149;306684;1584853149;306736;1584853149;306029;93.82675;
1584853149;356644;1584853149;356687;1584853149;355993;92.75298;
1584853149;406454;1584853149;406505;1584853149;405993;91.65859;
1584853149;456565;1584853149;456652;1584853149;456024;90.54887;
1584853149;506357;1584853149;506385;1584853149;505998;89.44037;
1584853149;556520;1584853149;556573;1584853149;555982;88.33483;
1584853149;606720;1584853149;606770;1584853149;606086;87.22958;
1584853149;656414;1584853149;656464;1584853149;655949;86.10467;
1584853149;706315;1584853149;706344;1584853149;705920;84.95715;
1584853149;756355;1584853149;756397;1584853149;755985;83.80138;
1584853149;806680;1584853149;806730;1584853149;806037;82.64176;
1584853149;856347;1584853149;856376;1584853149;855985;81.46786;
1584853149;906806;1584853149;906868;1584853149;906040;80.29178;
1584853149;956752;1584853149;956805;1584853149;955986;79.12047;
1584853150;6989;1584853150;7045;1584853150;6231;77.95337;
1584853150;56489;1584853150;56525;1584853150;55984;76.79106;
1584853150;106334;1584853150;106365;1584853150;105960;75.62453;
1584853150;156495;1584853150;156536;1584853150;156000;74.45396;
1584853150;206572;1584853150;206635;1584853150;205999;73.27886;
1584853150;256514;1584853150;256563;1584853150;256000;72.0899;
1584853150;306581;1584853150;306638;1584853150;306007;70.89507;
1584853150;356412;1584853150;356465;1584853150;355963;69.68951;
1584853150;406749;1584853150;406803;1584853150;406039;68.4866;
1584853150;456413;1584853150;456455;1584853150;455974;67.28576;
1584853150;506499;1584853150;506536;1584853150;506002;66.08431;
1584853150;556368;1584853150;556397;1584853150;555999;64.87976;
1584853150;606477;1584853150;606519;1584853150;606011;63.673;
1584853150;656503;1584853150;656547;1584853150;655958;62.46146;
1584853150;706373;1584853150;706428;1584853150;705943;61.24805;
1584853150;756452;1584853150;756482;1584853150;755976;60.03189;
1584853150;806954;1584853150;807001;1584853150;806149;58.81962;
1584853150;856489;1584853150;856540;1584853150;855995;57.61013;
1584853150;906340;1584853150;906369;1584853150;905957;56.40259;
1584853150;956357;1584853150;956402;1584853150;955924;55.1953;
1584853151;6763;1584853151;6815;1584853151;6186;53.98729;
1584853151;56275;1584853151;56304;1584853151;55921;52.78375;
1584853151;106743;1584853151;106791;1584853151;106049;51.57747;
1584853151;156338;1584853151;156366;1584853151;155973;50.36633;
1584853151;206565;1584853151;206628;1584853151;206018;49.14502;
1584853151;256505;1584853151;256544;1584853151;256013;47.91982;
1584853151;306590;1584853151;306657;1584853151;305967;46.70105;
1584853151;356500;1584853151;356546;1584853151;355967;45.48627;
1584853151;406604;1584853151;406658;1584853151;406003;44.27283;
1584853151;456470;1584853151;456519;1584853151;456038;43.06073;
1584853151;506446;1584853151;506482;1584853151;505998;41.84525;
1584853151;556479;1584853151;556520;1584853151;555974;40.62767;
1584853151;606415;1584853151;606444;1584853151;606028;39.40858;
1584853151;656588;1584853151;656648;1584853151;656027;38.1905;
1584853151;706567;1584853151;706656;1584853151;706002;36.98136;
1584853151;756518;1584853151;756564;1584853151;755986;35.77295;
1584853151;806661;1584853151;806713;1584853151;806043;34.55693;
1584853151;857060;1584853151;857152;1584853151;856053;33.32909;
1584853151;906439;1584853151;906490;1584853151;906005;32.09336;
1584853151;956345;1584853151;956374;1584853151;955947;30.83796;
1584853152;6740;1584853152;6772;1584853152;6242;29.56642;
1584853152;56585;1584853152;56634;1584853152;56058;28.29483;
1584853152;106455;1584853152;106510;1584853152;106009;27.03034;
1584853152;156568;1584853152;156631;1584853152;156020;25.7739;
1584853152;206471;1584853152;206508;1584853152;206013;24.52014;
1584853152;256413;1584853152;256449;1584853152;255996;23.26183;
1584853152;307149;1584853152;307221;1584853152;306115;22.0023;
1584853152;356360;1584853152;356388;1584853152;355975;20.73517;
1584853152;406559;1584853152;406614;1584853152;406052;19.46611;
1584853152;456564;1584853152;456632;1584853152;455988;18.19846;
1584853152;506496;1584853152;506534;1584853152;506018;16.9399;
1584853152;556530;1584853152;556570;1584853152;556054;15.68746;
1584853152;606617;1584853152;606668;1584853152;606027;14.43562;
1584853152;656761;1584853152;656826;1584853152;656026;13.17154;
1584853152;706384;1584853152;706432;1584853152;705908;11.90528;
1584853152;756447;1584853152;756483;1584853152;755990;10.63193;
1584853152;806825;1584853152;806868;1584853152;806242;9.352003;
1584853152;856462;1584853152;856514;1584853152;856002;8.077085;
1584853152;906746;1584853152;906821;1584853152;906018;6.818036;
1584853152;956492;1584853152;956541;1584853152;955988;5.580032;
1584853153;6654;1584853153;6698;1584853153;6217;4.36307;
1584853153;56431;1584853153;56480;1584853153;55947;3.16747;
1584853153;106461;1584853153;106490;1584853153;105994;1.998215;
