sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSpeed;
1584853141;6271;1584853141;6399;1584853141;5405;9.89621;
1584853141;21026;1584853141;21051;1584853141;15167;9.90403;
1584853141;27424;1584853141;27447;1584853141;25156;9.89621;
1584853141;35724;1584853141;35748;1584853141;35217;9.8923;
1584853141;45199;1584853141;45222;1584853141;45079;9.8923;
1584853141;55594;1584853141;55627;1584853141;55018;9.88448;
1584853141;66327;1584853141;66367;1584853141;64841;9.86884;
1584853141;75845;1584853141;75884;1584853141;75268;9.87275;
1584853141;85829;1584853141;85857;1584853141;85220;9.87666;
1584853141;95760;1584853141;95784;1584853141;95411;9.87275;
1584853141;105793;1584853141;105849;1584853141;105195;9.86884;
1584853141;116707;1584853141;116746;1584853141;114926;9.86884;
1584853141;127980;1584853141;128006;1584853141;124825;9.8532;
1584853141;135600;1584853141;135639;1584853141;134978;9.8532;
1584853141;146346;1584853141;146371;1584853141;145262;9.84929;
1584853141;172488;1584853141;172513;1584853141;155401;9.84147;
1584853141;177266;1584853141;177290;1584853141;165167;9.83756;
1584853141;185827;1584853141;185854;1584853141;175172;9.83756;
1584853141;187533;1584853141;187557;1584853141;184980;9.82974;
1584853141;196255;1584853141;196279;1584853141;195153;9.83365;
1584853141;205147;1584853141;205228;1584853141;204973;9.82583;
1584853141;215276;1584853141;215422;1584853141;214899;9.82192;
1584853141;234350;1584853141;234389;1584853141;225223;9.82192;
1584853141;242653;1584853141;242676;1584853141;235221;9.79455;
1584853141;252028;1584853141;252052;1584853141;245425;9.8141;
1584853141;265243;1584853141;265267;1584853141;255221;9.79846;
1584853141;267549;1584853141;267574;1584853141;264943;9.79846;
1584853141;277619;1584853141;277718;1584853141;274848;9.79455;
1584853141;287155;1584853141;287179;1584853141;284888;9.78282;
1584853141;295652;1584853141;295676;1584853141;295310;9.79064;
1584853141;305297;1584853141;305480;1584853141;305162;9.77891;
1584853141;323010;1584853141;323035;1584853141;315168;9.775;
1584853141;326017;1584853141;326040;1584853141;325171;9.78282;
1584853141;337573;1584853141;337599;1584853141;335223;9.77109;
1584853141;345970;1584853141;346051;1584853141;345092;9.77891;
