sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584853141;7499;1584853141;7589;1584853141;6119;0.0458984375
1584853141;28580;1584853141;28619;1584853141;25862;0.0458984375
1584853141;46060;1584853141;46082;1584853141;45787;0.0458984375
1584853141;67460;1584853141;67499;1584853141;65552;0.0458984375
1584853141;86908;1584853141;86932;1584853141;85932;0.044921875
1584853141;106806;1584853141;106895;1584853141;105905;0.044921875
1584853141;130047;1584853141;130086;1584853141;125534;0.044921875
1584853141;165772;1584853141;165801;1584853141;145952;0.04296875
1584853141;178728;1584853141;178751;1584853141;165883;0.04296875
1584853141;188110;1584853141;188133;1584853141;185695;0.0419921875
1584853141;206191;1584853141;206215;1584853141;205674;0.041015625
1584853141;240774;1584853141;240798;1584853141;225935;0.041015625
1584853141;252819;1584853141;252842;1584853141;246123;0.041015625
1584853141;268439;1584853141;268476;1584853141;265654;0.0400390625
1584853141;287979;1584853141;288019;1584853141;285596;0.0390625
1584853141;306720;1584853141;306744;1584853141;305868;0.0390625
1584853141;330220;1584853141;330248;1584853141;325874;0.0390625
1584853141;346796;1584853141;346820;1584853141;345789;0.0390625
1584853141;367160;1584853141;367182;1584853141;365559;0.0380859375
1584853141;386553;1584853141;386573;1584853141;385925;0.0380859375
1584853141;406310;1584853141;406328;1584853141;405904;0.037109375
1584853141;427078;1584853141;427127;1584853141;425525;0.0361328125
1584853141;446733;1584853141;446757;1584853141;445971;0.0361328125
1584853141;466733;1584853141;466761;1584853141;465885;0.03515625
1584853141;487258;1584853141;487288;1584853141;485929;0.03515625
1584853141;507032;1584853141;507056;1584853141;505677;0.0341796875
1584853141;530237;1584853141;530277;1584853141;525917;0.0322265625
1584853141;547450;1584853141;547490;1584853141;546127;0.03125
1584853141;566225;1584853141;566249;1584853141;565662;0.029296875
1584853141;587020;1584853141;587055;1584853141;585595;0.0283203125
1584853141;606235;1584853141;606296;1584853141;605863;0.02734375
1584853141;627564;1584853141;627586;1584853141;625863;0.0244140625
1584853141;646936;1584853141;646958;1584853141;645811;0.0224609375
1584853141;666781;1584853141;666804;1584853141;665556;0.0205078125
1584853141;686205;1584853141;686228;1584853141;685941;0.0185546875
1584853141;710632;1584853141;710656;1584853141;705902;0.0146484375
1584853141;737847;1584853141;737920;1584853141;725555;0.01171875
1584853141;751169;1584853141;751259;1584853141;745963;0.0087890625
1584853141;782541;1584853141;782565;1584853141;765884;0.005859375
1584853141;796919;1584853141;796943;1584853141;785700;0.0029296875
1584853141;808013;1584853141;808036;1584853141;805723;0.0009765625
1584853141;837794;1584853141;837817;1584853141;825728;-0.0009765625
1584853141;848808;1584853141;848833;1584853141;846120;-0.001953125
1584853141;866058;1584853141;866080;1584853141;865676;-0.0029296875
1584853141;886935;1584853141;886975;1584853141;885612;-0.00390625
1584853141;907192;1584853141;907230;1584853141;905889;-0.0048828125
1584853141;930786;1584853141;930809;1584853141;925884;-0.0078125
1584853141;946217;1584853141;946241;1584853141;945822;-0.009765625
1584853141;967158;1584853141;967180;1584853141;965610;-0.0126953125
1584853141;987451;1584853141;987485;1584853141;985912;-0.015625
1584853142;6456;1584853142;6478;1584853142;5922;-0.0185546875
1584853142;29118;1584853142;29155;1584853142;25519;-0.0205078125
1584853142;48196;1584853142;48220;1584853142;45969;-0.025390625
1584853142;66805;1584853142;66909;1584853142;65901;-0.0283203125
1584853142;86115;1584853142;86137;1584853142;85694;-0.0322265625
1584853142;106753;1584853142;106782;1584853142;105695;-0.0361328125
1584853142;131306;1584853142;131329;1584853142;125956;-0.041015625
1584853142;148654;1584853142;148849;1584853142;146137;-0.0458984375
1584853142;166967;1584853142;167009;1584853142;165671;-0.0517578125
1584853142;187280;1584853142;187349;1584853142;185624;-0.0576171875
1584853142;206416;1584853142;206438;1584853142;206118;-0.0654296875
1584853142;226223;1584853142;226245;1584853142;225895;-0.0732421875
1584853142;246970;1584853142;246999;1584853142;245798;-0.080078125
1584853142;265872;1584853142;265895;1584853142;265557;-0.087890625
1584853142;287280;1584853142;287304;1584853142;285924;-0.095703125
1584853142;309874;1584853142;309897;1584853142;305926;-0.1025390625
1584853142;327970;1584853142;327993;1584853142;325537;-0.1083984375
1584853142;347938;1584853142;347973;1584853142;345981;-0.11328125
1584853142;367633;1584853142;367657;1584853142;365907;-0.1171875
1584853142;386117;1584853142;386140;1584853142;385698;-0.1220703125
1584853142;410473;1584853142;410498;1584853142;405709;-0.125
1584853142;436975;1584853142;437014;1584853142;425953;-0.1298828125
1584853142;447456;1584853142;447478;1584853142;446134;-0.134765625
1584853142;466021;1584853142;466043;1584853142;465668;-0.1396484375
1584853142;488594;1584853142;488626;1584853142;485615;-0.1455078125
1584853142;507448;1584853142;507470;1584853142;505899;-0.1484375
1584853142;532189;1584853142;532212;1584853142;525881;-0.1591796875
1584853142;547128;1584853142;547150;1584853142;545812;-0.1669921875
1584853142;567075;1584853142;567098;1584853142;565553;-0.17578125
1584853142;586251;1584853142;586273;1584853142;585922;-0.18359375
