sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1584853141;14323;1584853141;14379;1584853141;14223;-0.1615;-0.2295;9.9025
1584853141;25527;1584853141;25570;1584853141;24217;-0.1275;-0.3145;9.6815
1584853141;34361;1584853141;34402;1584853141;34293;-0.2295;-0.2635;9.639
1584853141;44198;1584853141;44222;1584853141;44154;-0.2805;-0.2125;9.7495
1584853141;54135;1584853141;54169;1584853141;54078;-0.3145;-0.2125;9.8345
1584853141;63955;1584853141;63995;1584853141;63891;-0.3145;-0.306;9.8685
1584853141;74415;1584853141;74438;1584853141;74342;-0.2465;-0.3145;9.8855
1584853141;84345;1584853141;84381;1584853141;84267;-0.2125;-0.2635;9.8685
1584853141;94524;1584853141;94555;1584853141;94470;-0.2295;-0.2125;9.6985
1584853141;104321;1584853141;104357;1584853141;104251;-0.2465;-0.2295;9.6305
1584853141;115484;1584853141;115521;1584853141;113979;-0.3145;-0.2295;9.6135
1584853141;126693;1584853141;126747;1584853141;123868;-0.2465;-0.2805;9.6645
1584853141;134129;1584853141;134156;1584853141;134028;-0.2805;-0.2805;9.7835
1584853141;144374;1584853141;144417;1584853141;144304;-0.306;-0.3145;9.8345
1584853141;166493;1584853141;166518;1584853141;154463;-0.3485;-0.2125;9.9195
1584853141;173025;1584853141;173050;1584853141;164223;-0.3485;-0.2635;9.7665
1584853141;179176;1584853141;179200;1584853141;174229;-0.2465;-0.2805;9.7155
1584853141;186489;1584853141;186512;1584853141;184038;-0.1275;-0.3315;9.7665
1584853141;195439;1584853141;195468;1584853141;194210;-0.1275;-0.2635;9.8345
1584853141;204078;1584853141;204111;1584853141;204022;-0.0425;-0.2295;9.962
1584853141;214010;1584853141;214048;1584853141;213950;-0.0935;-0.2295;10.0045
1584853141;225594;1584853141;225631;1584853141;224282;-0.0935;-0.2465;10.0215
1584853141;241489;1584853141;241513;1584853141;234267;-0.1615;-0.2805;9.9875
1584853141;250932;1584853141;250970;1584853141;244475;-0.2465;-0.2465;9.809
1584853141;263474;1584853141;263588;1584853141;254272;-0.1955;-0.1955;9.8515
1584853141;266246;1584853141;266269;1584853141;263997;-0.1785;-0.2295;9.8685
1584853141;275560;1584853141;275674;1584853141;273904;-0.1785;-0.2295;9.809
1584853141;285700;1584853141;285737;1584853141;283948;-0.1955;-0.1785;9.809
1584853141;294436;1584853141;294483;1584853141;294375;-0.2635;-0.153;9.809
1584853141;304266;1584853141;304294;1584853141;304215;-0.3145;-0.2635;9.6815
1584853141;314325;1584853141;314352;1584853141;314247;-0.3145;-0.2805;9.639
1584853141;324630;1584853141;324657;1584853141;324225;-0.3145;-0.2635;9.5965
1584853141;334355;1584853141;334420;1584853141;334273;-0.2295;-0.2125;9.639
1584853141;344649;1584853141;344681;1584853141;344147;-0.2635;-0.1785;9.5965
1584853141;355468;1584853141;355518;1584853141;354078;-0.3655;-0.3315;9.3925
1584853141;365504;1584853141;365603;1584853141;363895;-0.3315;-0.1785;9.4605
1584853141;374330;1584853141;374368;1584853141;374267;-0.3145;-0.2125;9.571
1584853141;384322;1584853141;384360;1584853141;384255;-0.3485;-0.3655;9.639
1584853141;394588;1584853141;394622;1584853141;394491;-0.3485;-0.2635;9.809
1584853141;404325;1584853141;404364;1584853141;404257;-0.1955;-0.1955;9.7835
1584853141;414063;1584853141;414098;1584853141;413995;-0.1275;-0.2295;9.571
1584853141;425423;1584853141;425477;1584853141;423871;-0.1955;-0.2465;9.5115
1584853141;435436;1584853141;435465;1584853141;434040;-0.153;-0.2805;9.5625
1584853141;444695;1584853141;444727;1584853141;444323;-0.1615;-0.2465;9.6985
1584853141;454533;1584853141;454564;1584853141;454470;-0.1785;-0.2805;9.7155
1584853141;464314;1584853141;464363;1584853141;464235;-0.2805;-0.2635;9.7835
1584853141;474289;1584853141;474332;1584853141;474225;-0.3315;-0.1955;9.9875
1584853141;485488;1584853141;485525;1584853141;484283;-0.2125;-0.2465;9.9365
1584853141;494258;1584853141;494296;1584853141;494204;-0.1955;-0.2635;9.7665
1584853141;504106;1584853141;504132;1584853141;504023;-0.3485;-0.2295;9.724
1584853141;514089;1584853141;514115;1584853141;513960;-0.3485;-0.2465;9.8175
1584853141;525815;1584853141;525859;1584853141;524263;-0.3315;-0.2805;9.724
1584853141;534321;1584853141;534379;1584853141;534261;-0.3655;-0.2295;9.7835
1584853141;544551;1584853141;544593;1584853141;544489;-0.3825;-0.2805;9.8515
1584853141;554363;1584853141;554402;1584853141;554280;-0.4165;-0.2635;9.8175
1584853141;564079;1584853141;564111;1584853141;564025;-0.3485;-0.3145;9.639
1584853141;573977;1584853141;574008;1584853141;573927;-0.3315;-0.2295;9.6645
1584853141;584024;1584853141;584062;1584853141;583965;-0.3995;-0.1275;9.6985
1584853141;594458;1584853141;594504;1584853141;594401;-0.3315;-0.2805;9.571
1584853141;604271;1584853141;604300;1584853141;604213;-0.3315;-0.3145;9.4605
1584853141;614305;1584853141;614335;1584853141;614252;-0.3825;-0.2465;9.5625
1584853141;624814;1584853141;624838;1584853141;624216;-0.459;-0.3485;9.6645
1584853141;634355;1584853141;634383;1584853141;634281;-0.4675;-0.3145;9.7835
1584853141;644228;1584853141;644273;1584853141;644156;-0.3655;-0.3315;9.724
1584853141;654138;1584853141;654182;1584853141;654065;-0.306;-0.1955;9.6815
1584853141;663976;1584853141;664016;1584853141;663905;-0.1615;-0.1615;9.5285
1584853141;674399;1584853141;674460;1584853141;674295;-0.0935;-0.1955;9.3925
1584853141;684321;1584853141;684347;1584853141;684275;-0.0935;-0.1785;9.5115
1584853141;694545;1584853141;694569;1584853141;694502;-0.2125;-0.2465;9.6815
1584853141;708326;1584853141;708353;1584853141;704252;-0.3655;-0.306;9.8515
1584853141;714182;1584853141;714210;1584853141;714033;-0.3655;-0.306;9.8685
1584853141;734878;1584853141;734908;1584853141;723896;-0.3315;-0.2295;9.8515
1584853141;742617;1584853141;742650;1584853141;734024;-0.3825;-0.1955;9.6985
1584853141;746404;1584853141;746488;1584853141;744320;-0.3995;-0.1955;9.6135
1584853141;755925;1584853141;755972;1584853141;754475;-0.3485;-0.2125;9.571
1584853141;779126;1584853141;779165;1584853141;764228;-0.3655;-0.2295;9.5285
1584853141;784475;1584853141;784583;1584853141;774225;-0.4675;-0.3145;9.6985
1584853141;792180;1584853141;792219;1584853141;784048;-0.4845;-0.306;9.7665
